DateKey,Date,DayName,Day,WeekNumberOfYear,Month,Year,MonthShort
20200405,2020-04-05,Sunday,5,15,4,2020,Apr
20200406,2020-04-06,Monday,6,15,4,2020,Apr
20200407,2020-04-07,Tuesday,7,15,4,2020,Apr
20200408,2020-04-08,Wednesday,8,15,4,2020,Apr
20200409,2020-04-09,Thursday,9,15,4,2020,Apr
20200410,2020-04-10,Friday,10,15,4,2020,Apr
20200411,2020-04-11,Saturday,11,15,4,2020,Apr
20200412,2020-04-12,Sunday,12,16,4,2020,Apr
20200413,2020-04-13,Monday,13,16,4,2020,Apr
20200414,2020-04-14,Tuesday,14,16,4,2020,Apr
20200415,2020-04-15,Wednesday,15,16,4,2020,Apr
20200416,2020-04-16,Thursday,16,16,4,2020,Apr
20200417,2020-04-17,Friday,17,16,4,2020,Apr
20200418,2020-04-18,Saturday,18,16,4,2020,Apr
20200419,2020-04-19,Sunday,19,17,4,2020,Apr
20200420,2020-04-20,Monday,20,17,4,2020,Apr
20200421,2020-04-21,Tuesday,21,17,4,2020,Apr
20200422,2020-04-22,Wednesday,22,17,4,2020,Apr
20200423,2020-04-23,Thursday,23,17,4,2020,Apr
20200424,2020-04-24,Friday,24,17,4,2020,Apr
20200425,2020-04-25,Saturday,25,17,4,2020,Apr
20200426,2020-04-26,Sunday,26,18,4,2020,Apr
20200427,2020-04-27,Monday,27,18,4,2020,Apr
20200428,2020-04-28,Tuesday,28,18,4,2020,Apr
20200429,2020-04-29,Wednesday,29,18,4,2020,Apr
20200430,2020-04-30,Thursday,30,18,4,2020,Apr
20200501,2020-05-01,Friday,1,18,5,2020,May
20200502,2020-05-02,Saturday,2,18,5,2020,May
20200503,2020-05-03,Sunday,3,19,5,2020,May
20200504,2020-05-04,Monday,4,19,5,2020,May
20200505,2020-05-05,Tuesday,5,19,5,2020,May
20200506,2020-05-06,Wednesday,6,19,5,2020,May
20200507,2020-05-07,Thursday,7,19,5,2020,May
20200508,2020-05-08,Friday,8,19,5,2020,May
20200509,2020-05-09,Saturday,9,19,5,2020,May
20200510,2020-05-10,Sunday,10,20,5,2020,May
20200511,2020-05-11,Monday,11,20,5,2020,May
20200512,2020-05-12,Tuesday,12,20,5,2020,May
20200513,2020-05-13,Wednesday,13,20,5,2020,May
20200514,2020-05-14,Thursday,14,20,5,2020,May
20200515,2020-05-15,Friday,15,20,5,2020,May
20200516,2020-05-16,Saturday,16,20,5,2020,May
20200517,2020-05-17,Sunday,17,21,5,2020,May
20200518,2020-05-18,Monday,18,21,5,2020,May
20200519,2020-05-19,Tuesday,19,21,5,2020,May
20200520,2020-05-20,Wednesday,20,21,5,2020,May
20200521,2020-05-21,Thursday,21,21,5,2020,May
20200522,2020-05-22,Friday,22,21,5,2020,May
20200523,2020-05-23,Saturday,23,21,5,2020,May
20200524,2020-05-24,Sunday,24,22,5,2020,May
20200525,2020-05-25,Monday,25,22,5,2020,May
20200526,2020-05-26,Tuesday,26,22,5,2020,May
20200527,2020-05-27,Wednesday,27,22,5,2020,May
20200528,2020-05-28,Thursday,28,22,5,2020,May
20200529,2020-05-29,Friday,29,22,5,2020,May
20200530,2020-05-30,Saturday,30,22,5,2020,May
20200531,2020-05-31,Sunday,31,23,5,2020,May
20200601,2020-06-01,Monday,1,23,6,2020,Jun
20200602,2020-06-02,Tuesday,2,23,6,2020,Jun
20200603,2020-06-03,Wednesday,3,23,6,2020,Jun
20200604,2020-06-04,Thursday,4,23,6,2020,Jun
20200605,2020-06-05,Friday,5,23,6,2020,Jun
20200606,2020-06-06,Saturday,6,23,6,2020,Jun
20200607,2020-06-07,Sunday,7,24,6,2020,Jun
20200608,2020-06-08,Monday,8,24,6,2020,Jun
20200609,2020-06-09,Tuesday,9,24,6,2020,Jun
20200610,2020-06-10,Wednesday,10,24,6,2020,Jun
20200611,2020-06-11,Thursday,11,24,6,2020,Jun
20200612,2020-06-12,Friday,12,24,6,2020,Jun
20200613,2020-06-13,Saturday,13,24,6,2020,Jun
20200614,2020-06-14,Sunday,14,25,6,2020,Jun
20200615,2020-06-15,Monday,15,25,6,2020,Jun
20200616,2020-06-16,Tuesday,16,25,6,2020,Jun
20200617,2020-06-17,Wednesday,17,25,6,2020,Jun
20200618,2020-06-18,Thursday,18,25,6,2020,Jun
20200619,2020-06-19,Friday,19,25,6,2020,Jun
20200620,2020-06-20,Saturday,20,25,6,2020,Jun
20200621,2020-06-21,Sunday,21,26,6,2020,Jun
20200622,2020-06-22,Monday,22,26,6,2020,Jun
20200623,2020-06-23,Tuesday,23,26,6,2020,Jun
20200624,2020-06-24,Wednesday,24,26,6,2020,Jun
20200625,2020-06-25,Thursday,25,26,6,2020,Jun
20200626,2020-06-26,Friday,26,26,6,2020,Jun
20200627,2020-06-27,Saturday,27,26,6,2020,Jun
20200628,2020-06-28,Sunday,28,27,6,2020,Jun
20200629,2020-06-29,Monday,29,27,6,2020,Jun
20200630,2020-06-30,Tuesday,30,27,6,2020,Jun
20200701,2020-07-01,Wednesday,1,27,7,2020,Jul
20200702,2020-07-02,Thursday,2,27,7,2020,Jul
20200703,2020-07-03,Friday,3,27,7,2020,Jul
20200704,2020-07-04,Saturday,4,27,7,2020,Jul
20200705,2020-07-05,Sunday,5,28,7,2020,Jul
20200706,2020-07-06,Monday,6,28,7,2020,Jul
20200707,2020-07-07,Tuesday,7,28,7,2020,Jul
20200708,2020-07-08,Wednesday,8,28,7,2020,Jul
20200709,2020-07-09,Thursday,9,28,7,2020,Jul
20200710,2020-07-10,Friday,10,28,7,2020,Jul
20200711,2020-07-11,Saturday,11,28,7,2020,Jul
20200712,2020-07-12,Sunday,12,29,7,2020,Jul
20200713,2020-07-13,Monday,13,29,7,2020,Jul
20200714,2020-07-14,Tuesday,14,29,7,2020,Jul
20200715,2020-07-15,Wednesday,15,29,7,2020,Jul
20200716,2020-07-16,Thursday,16,29,7,2020,Jul
20200717,2020-07-17,Friday,17,29,7,2020,Jul
20200718,2020-07-18,Saturday,18,29,7,2020,Jul
20200719,2020-07-19,Sunday,19,30,7,2020,Jul
20200720,2020-07-20,Monday,20,30,7,2020,Jul
20200721,2020-07-21,Tuesday,21,30,7,2020,Jul
20200722,2020-07-22,Wednesday,22,30,7,2020,Jul
20200723,2020-07-23,Thursday,23,30,7,2020,Jul
20200724,2020-07-24,Friday,24,30,7,2020,Jul
20200725,2020-07-25,Saturday,25,30,7,2020,Jul
20200726,2020-07-26,Sunday,26,31,7,2020,Jul
20200727,2020-07-27,Monday,27,31,7,2020,Jul
20200728,2020-07-28,Tuesday,28,31,7,2020,Jul
20200729,2020-07-29,Wednesday,29,31,7,2020,Jul
20200730,2020-07-30,Thursday,30,31,7,2020,Jul
20200731,2020-07-31,Friday,31,31,7,2020,Jul
20200801,2020-08-01,Saturday,1,31,8,2020,Aug
20200802,2020-08-02,Sunday,2,32,8,2020,Aug
20200803,2020-08-03,Monday,3,32,8,2020,Aug
20200804,2020-08-04,Tuesday,4,32,8,2020,Aug
20200805,2020-08-05,Wednesday,5,32,8,2020,Aug
20200806,2020-08-06,Thursday,6,32,8,2020,Aug
20200807,2020-08-07,Friday,7,32,8,2020,Aug
20200808,2020-08-08,Saturday,8,32,8,2020,Aug
20200809,2020-08-09,Sunday,9,33,8,2020,Aug
20200810,2020-08-10,Monday,10,33,8,2020,Aug
20200811,2020-08-11,Tuesday,11,33,8,2020,Aug
20200812,2020-08-12,Wednesday,12,33,8,2020,Aug
20200813,2020-08-13,Thursday,13,33,8,2020,Aug
20200814,2020-08-14,Friday,14,33,8,2020,Aug
20200815,2020-08-15,Saturday,15,33,8,2020,Aug
20200816,2020-08-16,Sunday,16,34,8,2020,Aug
20200817,2020-08-17,Monday,17,34,8,2020,Aug
20200818,2020-08-18,Tuesday,18,34,8,2020,Aug
20200819,2020-08-19,Wednesday,19,34,8,2020,Aug
20200820,2020-08-20,Thursday,20,34,8,2020,Aug
20200821,2020-08-21,Friday,21,34,8,2020,Aug
20200822,2020-08-22,Saturday,22,34,8,2020,Aug
20200823,2020-08-23,Sunday,23,35,8,2020,Aug
20200824,2020-08-24,Monday,24,35,8,2020,Aug
20200825,2020-08-25,Tuesday,25,35,8,2020,Aug
20200826,2020-08-26,Wednesday,26,35,8,2020,Aug
20200827,2020-08-27,Thursday,27,35,8,2020,Aug
20200828,2020-08-28,Friday,28,35,8,2020,Aug
20200829,2020-08-29,Saturday,29,35,8,2020,Aug
20200830,2020-08-30,Sunday,30,36,8,2020,Aug
20200831,2020-08-31,Monday,31,36,8,2020,Aug
20200901,2020-09-01,Tuesday,1,36,9,2020,Sep
20200902,2020-09-02,Wednesday,2,36,9,2020,Sep
20200903,2020-09-03,Thursday,3,36,9,2020,Sep
20200904,2020-09-04,Friday,4,36,9,2020,Sep
20200905,2020-09-05,Saturday,5,36,9,2020,Sep
20200906,2020-09-06,Sunday,6,37,9,2020,Sep
20200907,2020-09-07,Monday,7,37,9,2020,Sep
20200908,2020-09-08,Tuesday,8,37,9,2020,Sep
20200909,2020-09-09,Wednesday,9,37,9,2020,Sep
20200910,2020-09-10,Thursday,10,37,9,2020,Sep
20200911,2020-09-11,Friday,11,37,9,2020,Sep
20200912,2020-09-12,Saturday,12,37,9,2020,Sep
20200913,2020-09-13,Sunday,13,38,9,2020,Sep
20200914,2020-09-14,Monday,14,38,9,2020,Sep
20200915,2020-09-15,Tuesday,15,38,9,2020,Sep
20200916,2020-09-16,Wednesday,16,38,9,2020,Sep
20200917,2020-09-17,Thursday,17,38,9,2020,Sep
20200918,2020-09-18,Friday,18,38,9,2020,Sep
20200919,2020-09-19,Saturday,19,38,9,2020,Sep
20200920,2020-09-20,Sunday,20,39,9,2020,Sep
20200921,2020-09-21,Monday,21,39,9,2020,Sep
20200922,2020-09-22,Tuesday,22,39,9,2020,Sep
20200923,2020-09-23,Wednesday,23,39,9,2020,Sep
20200924,2020-09-24,Thursday,24,39,9,2020,Sep
20200925,2020-09-25,Friday,25,39,9,2020,Sep
20200926,2020-09-26,Saturday,26,39,9,2020,Sep
20200927,2020-09-27,Sunday,27,40,9,2020,Sep
20200928,2020-09-28,Monday,28,40,9,2020,Sep
20200929,2020-09-29,Tuesday,29,40,9,2020,Sep
20200930,2020-09-30,Wednesday,30,40,9,2020,Sep
20201001,2020-10-01,Thursday,1,40,10,2020,Oct
20201002,2020-10-02,Friday,2,40,10,2020,Oct
20201003,2020-10-03,Saturday,3,40,10,2020,Oct
20201004,2020-10-04,Sunday,4,41,10,2020,Oct
20201005,2020-10-05,Monday,5,41,10,2020,Oct
20201006,2020-10-06,Tuesday,6,41,10,2020,Oct
20201007,2020-10-07,Wednesday,7,41,10,2020,Oct
20201008,2020-10-08,Thursday,8,41,10,2020,Oct
20201009,2020-10-09,Friday,9,41,10,2020,Oct
20201010,2020-10-10,Saturday,10,41,10,2020,Oct
20201011,2020-10-11,Sunday,11,42,10,2020,Oct
20201012,2020-10-12,Monday,12,42,10,2020,Oct
20201013,2020-10-13,Tuesday,13,42,10,2020,Oct
20201014,2020-10-14,Wednesday,14,42,10,2020,Oct
20201015,2020-10-15,Thursday,15,42,10,2020,Oct
20201016,2020-10-16,Friday,16,42,10,2020,Oct
20201017,2020-10-17,Saturday,17,42,10,2020,Oct
20201018,2020-10-18,Sunday,18,43,10,2020,Oct
20201019,2020-10-19,Monday,19,43,10,2020,Oct
20201020,2020-10-20,Tuesday,20,43,10,2020,Oct
20201021,2020-10-21,Wednesday,21,43,10,2020,Oct
20201022,2020-10-22,Thursday,22,43,10,2020,Oct
20201023,2020-10-23,Friday,23,43,10,2020,Oct
20201024,2020-10-24,Saturday,24,43,10,2020,Oct
20201025,2020-10-25,Sunday,25,44,10,2020,Oct
20201026,2020-10-26,Monday,26,44,10,2020,Oct
20201027,2020-10-27,Tuesday,27,44,10,2020,Oct
20201028,2020-10-28,Wednesday,28,44,10,2020,Oct
20201029,2020-10-29,Thursday,29,44,10,2020,Oct
20201030,2020-10-30,Friday,30,44,10,2020,Oct
20201031,2020-10-31,Saturday,31,44,10,2020,Oct
20201101,2020-11-01,Sunday,1,45,11,2020,Nov
20201102,2020-11-02,Monday,2,45,11,2020,Nov
20201103,2020-11-03,Tuesday,3,45,11,2020,Nov
20201104,2020-11-04,Wednesday,4,45,11,2020,Nov
20201105,2020-11-05,Thursday,5,45,11,2020,Nov
20201106,2020-11-06,Friday,6,45,11,2020,Nov
20201107,2020-11-07,Saturday,7,45,11,2020,Nov
20201108,2020-11-08,Sunday,8,46,11,2020,Nov
20201109,2020-11-09,Monday,9,46,11,2020,Nov
20201110,2020-11-10,Tuesday,10,46,11,2020,Nov
20201111,2020-11-11,Wednesday,11,46,11,2020,Nov
20201112,2020-11-12,Thursday,12,46,11,2020,Nov
20201113,2020-11-13,Friday,13,46,11,2020,Nov
20201114,2020-11-14,Saturday,14,46,11,2020,Nov
20201115,2020-11-15,Sunday,15,47,11,2020,Nov
20201116,2020-11-16,Monday,16,47,11,2020,Nov
20201117,2020-11-17,Tuesday,17,47,11,2020,Nov
20201118,2020-11-18,Wednesday,18,47,11,2020,Nov
20201119,2020-11-19,Thursday,19,47,11,2020,Nov
20201120,2020-11-20,Friday,20,47,11,2020,Nov
20201121,2020-11-21,Saturday,21,47,11,2020,Nov
20201122,2020-11-22,Sunday,22,48,11,2020,Nov
20201123,2020-11-23,Monday,23,48,11,2020,Nov
20201124,2020-11-24,Tuesday,24,48,11,2020,Nov
20201125,2020-11-25,Wednesday,25,48,11,2020,Nov
20201126,2020-11-26,Thursday,26,48,11,2020,Nov
20201127,2020-11-27,Friday,27,48,11,2020,Nov
20201128,2020-11-28,Saturday,28,48,11,2020,Nov
20201129,2020-11-29,Sunday,29,49,11,2020,Nov
20201130,2020-11-30,Monday,30,49,11,2020,Nov
20201201,2020-12-01,Tuesday,1,49,12,2020,Dec
20201202,2020-12-02,Wednesday,2,49,12,2020,Dec
20201203,2020-12-03,Thursday,3,49,12,2020,Dec
20201204,2020-12-04,Friday,4,49,12,2020,Dec
20201205,2020-12-05,Saturday,5,49,12,2020,Dec
20201206,2020-12-06,Sunday,6,50,12,2020,Dec
20201207,2020-12-07,Monday,7,50,12,2020,Dec
20201208,2020-12-08,Tuesday,8,50,12,2020,Dec
20201209,2020-12-09,Wednesday,9,50,12,2020,Dec
20201210,2020-12-10,Thursday,10,50,12,2020,Dec
20201211,2020-12-11,Friday,11,50,12,2020,Dec
20201212,2020-12-12,Saturday,12,50,12,2020,Dec
20201213,2020-12-13,Sunday,13,51,12,2020,Dec
20201214,2020-12-14,Monday,14,51,12,2020,Dec
20201215,2020-12-15,Tuesday,15,51,12,2020,Dec
20201216,2020-12-16,Wednesday,16,51,12,2020,Dec
20201217,2020-12-17,Thursday,17,51,12,2020,Dec
20201218,2020-12-18,Friday,18,51,12,2020,Dec
20201219,2020-12-19,Saturday,19,51,12,2020,Dec
20201220,2020-12-20,Sunday,20,52,12,2020,Dec
20201221,2020-12-21,Monday,21,52,12,2020,Dec
20201222,2020-12-22,Tuesday,22,52,12,2020,Dec
20201223,2020-12-23,Wednesday,23,52,12,2020,Dec
20201224,2020-12-24,Thursday,24,52,12,2020,Dec
20201225,2020-12-25,Friday,25,52,12,2020,Dec
20201226,2020-12-26,Saturday,26,52,12,2020,Dec
20201227,2020-12-27,Sunday,27,53,12,2020,Dec
20201228,2020-12-28,Monday,28,53,12,2020,Dec
20201229,2020-12-29,Tuesday,29,53,12,2020,Dec
20201230,2020-12-30,Wednesday,30,53,12,2020,Dec
20201231,2020-12-31,Thursday,31,53,12,2020,Dec
20210101,2021-01-01,Friday,1,1,1,2021,Jan
20210102,2021-01-02,Saturday,2,1,1,2021,Jan
20210103,2021-01-03,Sunday,3,2,1,2021,Jan
20210104,2021-01-04,Monday,4,2,1,2021,Jan
20210105,2021-01-05,Tuesday,5,2,1,2021,Jan
20210106,2021-01-06,Wednesday,6,2,1,2021,Jan
20210107,2021-01-07,Thursday,7,2,1,2021,Jan
20210108,2021-01-08,Friday,8,2,1,2021,Jan
20210109,2021-01-09,Saturday,9,2,1,2021,Jan
20210110,2021-01-10,Sunday,10,3,1,2021,Jan
20210111,2021-01-11,Monday,11,3,1,2021,Jan
20210112,2021-01-12,Tuesday,12,3,1,2021,Jan
20210113,2021-01-13,Wednesday,13,3,1,2021,Jan
20210114,2021-01-14,Thursday,14,3,1,2021,Jan
20210115,2021-01-15,Friday,15,3,1,2021,Jan
20210116,2021-01-16,Saturday,16,3,1,2021,Jan
20210117,2021-01-17,Sunday,17,4,1,2021,Jan
20210118,2021-01-18,Monday,18,4,1,2021,Jan
20210119,2021-01-19,Tuesday,19,4,1,2021,Jan
20210120,2021-01-20,Wednesday,20,4,1,2021,Jan
20210121,2021-01-21,Thursday,21,4,1,2021,Jan
20210122,2021-01-22,Friday,22,4,1,2021,Jan
20210123,2021-01-23,Saturday,23,4,1,2021,Jan
20210124,2021-01-24,Sunday,24,5,1,2021,Jan
20210125,2021-01-25,Monday,25,5,1,2021,Jan
20210126,2021-01-26,Tuesday,26,5,1,2021,Jan
20210127,2021-01-27,Wednesday,27,5,1,2021,Jan
20210128,2021-01-28,Thursday,28,5,1,2021,Jan
20210129,2021-01-29,Friday,29,5,1,2021,Jan
20210130,2021-01-30,Saturday,30,5,1,2021,Jan
20210131,2021-01-31,Sunday,31,6,1,2021,Jan
20210201,2021-02-01,Monday,1,6,2,2021,Feb
20210202,2021-02-02,Tuesday,2,6,2,2021,Feb
20210203,2021-02-03,Wednesday,3,6,2,2021,Feb
20210204,2021-02-04,Thursday,4,6,2,2021,Feb
20210205,2021-02-05,Friday,5,6,2,2021,Feb
20210206,2021-02-06,Saturday,6,6,2,2021,Feb
20210207,2021-02-07,Sunday,7,7,2,2021,Feb
20210208,2021-02-08,Monday,8,7,2,2021,Feb
20210209,2021-02-09,Tuesday,9,7,2,2021,Feb
20210210,2021-02-10,Wednesday,10,7,2,2021,Feb
20210211,2021-02-11,Thursday,11,7,2,2021,Feb
20210212,2021-02-12,Friday,12,7,2,2021,Feb
20210213,2021-02-13,Saturday,13,7,2,2021,Feb
20210214,2021-02-14,Sunday,14,8,2,2021,Feb
20210215,2021-02-15,Monday,15,8,2,2021,Feb
20210216,2021-02-16,Tuesday,16,8,2,2021,Feb
20210217,2021-02-17,Wednesday,17,8,2,2021,Feb
20210218,2021-02-18,Thursday,18,8,2,2021,Feb
20210219,2021-02-19,Friday,19,8,2,2021,Feb
20210220,2021-02-20,Saturday,20,8,2,2021,Feb
20210221,2021-02-21,Sunday,21,9,2,2021,Feb
20210222,2021-02-22,Monday,22,9,2,2021,Feb
20210223,2021-02-23,Tuesday,23,9,2,2021,Feb
20210224,2021-02-24,Wednesday,24,9,2,2021,Feb
20210225,2021-02-25,Thursday,25,9,2,2021,Feb
20210226,2021-02-26,Friday,26,9,2,2021,Feb
20210227,2021-02-27,Saturday,27,9,2,2021,Feb
20210228,2021-02-28,Sunday,28,10,2,2021,Feb
20210301,2021-03-01,Monday,1,10,3,2021,Mar
20210302,2021-03-02,Tuesday,2,10,3,2021,Mar
20210303,2021-03-03,Wednesday,3,10,3,2021,Mar
20210304,2021-03-04,Thursday,4,10,3,2021,Mar
20210305,2021-03-05,Friday,5,10,3,2021,Mar
20210306,2021-03-06,Saturday,6,10,3,2021,Mar
20210307,2021-03-07,Sunday,7,11,3,2021,Mar
20210308,2021-03-08,Monday,8,11,3,2021,Mar
20210309,2021-03-09,Tuesday,9,11,3,2021,Mar
20210310,2021-03-10,Wednesday,10,11,3,2021,Mar
20210311,2021-03-11,Thursday,11,11,3,2021,Mar
20210312,2021-03-12,Friday,12,11,3,2021,Mar
20210313,2021-03-13,Saturday,13,11,3,2021,Mar
20210314,2021-03-14,Sunday,14,12,3,2021,Mar
20210315,2021-03-15,Monday,15,12,3,2021,Mar
20210316,2021-03-16,Tuesday,16,12,3,2021,Mar
20210317,2021-03-17,Wednesday,17,12,3,2021,Mar
20210318,2021-03-18,Thursday,18,12,3,2021,Mar
20210319,2021-03-19,Friday,19,12,3,2021,Mar
20210320,2021-03-20,Saturday,20,12,3,2021,Mar
20210321,2021-03-21,Sunday,21,13,3,2021,Mar
20210322,2021-03-22,Monday,22,13,3,2021,Mar
20210323,2021-03-23,Tuesday,23,13,3,2021,Mar
20210324,2021-03-24,Wednesday,24,13,3,2021,Mar
20210325,2021-03-25,Thursday,25,13,3,2021,Mar
20210326,2021-03-26,Friday,26,13,3,2021,Mar
20210327,2021-03-27,Saturday,27,13,3,2021,Mar
20210328,2021-03-28,Sunday,28,14,3,2021,Mar
20210329,2021-03-29,Monday,29,14,3,2021,Mar
20210330,2021-03-30,Tuesday,30,14,3,2021,Mar
20210331,2021-03-31,Wednesday,31,14,3,2021,Mar
20210401,2021-04-01,Thursday,1,14,4,2021,Apr
20210402,2021-04-02,Friday,2,14,4,2021,Apr
20210403,2021-04-03,Saturday,3,14,4,2021,Apr
20210404,2021-04-04,Sunday,4,15,4,2021,Apr
20210405,2021-04-05,Monday,5,15,4,2021,Apr
20210406,2021-04-06,Tuesday,6,15,4,2021,Apr
20210407,2021-04-07,Wednesday,7,15,4,2021,Apr
20210408,2021-04-08,Thursday,8,15,4,2021,Apr
20210409,2021-04-09,Friday,9,15,4,2021,Apr
20210410,2021-04-10,Saturday,10,15,4,2021,Apr
20210411,2021-04-11,Sunday,11,16,4,2021,Apr
20210412,2021-04-12,Monday,12,16,4,2021,Apr
20210413,2021-04-13,Tuesday,13,16,4,2021,Apr
20210414,2021-04-14,Wednesday,14,16,4,2021,Apr
20210415,2021-04-15,Thursday,15,16,4,2021,Apr
20210416,2021-04-16,Friday,16,16,4,2021,Apr
20210417,2021-04-17,Saturday,17,16,4,2021,Apr
20210418,2021-04-18,Sunday,18,17,4,2021,Apr
20210419,2021-04-19,Monday,19,17,4,2021,Apr
20210420,2021-04-20,Tuesday,20,17,4,2021,Apr
20210421,2021-04-21,Wednesday,21,17,4,2021,Apr
20210422,2021-04-22,Thursday,22,17,4,2021,Apr
20210423,2021-04-23,Friday,23,17,4,2021,Apr
20210424,2021-04-24,Saturday,24,17,4,2021,Apr
20210425,2021-04-25,Sunday,25,18,4,2021,Apr
20210426,2021-04-26,Monday,26,18,4,2021,Apr
